"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
21834205,"BIG STRIPE HOOD OAT/RD XL",11,31.25,66.99,343.75,657.94,314.19,0.533512465,In-store,XL,218342,OAT/RD
21834206,"BIG STRIPE HOOD OAT/RD XXL",6,31.25,66.99,187.5,368.44,180.94,0.533512465,In-store,XXL,218342,OAT/RD
21846002,"BIG STRIPE HOOD RD/BLK SM",3,31.25,66.99,93.75,144.02,50.27,0.533512465,In-store,SM,218460,RD/BLK
21846003,"BIG STRIPE HOOD RD/BLK MED",9,31.25,66.99,281.25,556.01,274.76,0.533512465,In-store,MED,218460,RD/BLK
21846004,"BIG STRIPE HOOD RD/BLK LG",7,31.25,66.99,218.75,468.93,250.18,0.533512465,In-store,LG,218460,RD/BLK
21846005,"BIG STRIPE HOOD RD/BLK XL",6,31.25,66.99,187.5,339.99,152.49,0.533512465,In-store,XL,218460,RD/BLK
23033202,"MENS RW HOOD SILV HTHR SM",2,36.25,78.99,72.5,157.98,85.48,0.54108115,In-store,SM,230332,HTHR
23033203,"MENS RW HOOD SILV HTHR MED",14,36.25,78.99,507.5,1068.21,560.71,0.54108115,In-store,MED,230332,HTHR
23033204,"MENS RW HOOD SILV HTHR LG",8,36.25,78.99,290,567.82,277.82,0.54108115,In-store,LG,230332,HTHR
23033205,"MENS RW HOOD SILV HTHR XL",5,36.25,78.99,181.25,367.3,186.05,0.54108115,In-store,XL,230332,HTHR
23033206,"MENS RW HOOD SILV HTHR XXL",1,36.25,78.99,36.25,78.99,42.74,0.54108115,In-store,XXL,230332,HTHR
23043002,"MENS RW HOOD BLK SM",6,36.25,78.99,217.5,421.54,204.04,0.54108115,In-store,SM,230430,BLK
23043003,"MENS RW HOOD BLK MED",6,36.25,78.99,217.5,468.94,251.44,0.54108115,In-store,MED,230430,BLK
23043004,"MENS RW HOOD BLK LG",12,36.25,78.99,435,864.93,429.93,0.54108115,In-store,LG,230430,BLK
23043005,"MENS RW HOOD BLK XL",7,36.25,78.99,253.75,505.53,251.78,0.54108115,In-store,XL,230430,BLK
23043006,"MENS RW HOOD BLK XXL",2,36.25,78.99,72.5,130.33,57.83,0.54108115,In-store,XXL,230430,BLK
25176002,"BLEND FULLZIP HOODIE RD SM",8,26,56,208,431.2,223.2,0.535714286,In-store,SM,251760,RD
25176003,"BLEND FULLZIP HOODIE RD MED",18,26,56,468,868,400,0.535714286,In-store,MED,251760,RD
25176004,"BLEND FULLZIP HOODIE RD LG",13,26,56,338,639,301,0.535714286,In-store,LG,251760,RD
25176005,"BLEND FULLZIP HOODIE RD XL",9,26,56,234,392,158,0.535714286,In-store,XL,251760,RD
25176006,"BLEND FULLZIP HOODIE RD XXL",7,26,56,182,324.8,142.8,0.535714286,In-store,XXL,251760,RD
25176007,"BLEND FULLZIP HOODIE RD 3XL",4,28,56,112,207.2,95.2,0.5,In-store,3XL,251760,RD
25203202,"HOODED 3",2,26,55,52,110,58,0.527272727,In-store,SM,252032,Unknown
25203203,"HOODED 3",5,26,55,130,258.5,128.5,0.527272727,In-store,MED,252032,Unknown
25203204,"HOODED 3",5,26,55,130,258.5,128.5,0.527272727,In-store,LG,252032,Unknown
25203205,"HOODED 3",6,26,55,156,297,141,0.527272727,In-store,XL,252032,Unknown
25203206,"HOODED 3",3,26,55,78,148.5,70.5,0.527272727,In-store,XXL,252032,Unknown
25213202,"SPECKLE FLC HOODIE CHAR GRY SM",10,27.5,65,275,559,284,0.576923077,In-store,SM,252132,"CHAR GRY"
25213203,"SPECKLE FLC HOODIE CHAR GRY MED",13,27.5,65,357.5,817.25,459.75,0.576923077,In-store,MED,252132,"CHAR GRY"
25213204,"SPECKLE FLC HOODIE CHAR GRY LG",16,27.5,65,440,1022.3,582.3,0.576923077,In-store,LG,252132,"CHAR GRY"
25213205,"SPECKLE FLC HOODIE CHAR GRY XL",15,27.5,65,412.5,975,562.5,0.576923077,In-store,XL,252132,"CHAR GRY"
25213206,"SPECKLE FLC HOODIE CHAR GRY XXL",5,27.5,65,137.5,302.25,164.75,0.576923077,In-store,XXL,252132,"CHAR GRY"
25226002,"ADULT BLEND FLC HOODIE RD SM",3,24,55,72,165,93,0.563636364,In-store,SM,252260,RD
25226003,"ADULT BLEND FLC HOODIE RD MED",3,24,55,72,165,93,0.563636364,In-store,MED,252260,RD
25226004,"ADULT BLEND FLC HOODIE RD LG",4,24,55,96,220,124,0.563636364,In-store,LG,252260,RD
25226005,"ADULT BLEND FLC HOODIE RD XL",6,24,55,144,330,186,0.563636364,In-store,XL,252260,RD
25226006,"ADULT BLEND FLC HOODIE RD XXL",2,24,55,48,110,62,0.563636364,In-store,XXL,252260,RD
25226007,"ADULT BLEND FLC HOODIE RD 3XL",2,26,55,52,110,58,0.527272727,In-store,3XL,252260,RD
25233202,"ADULT BLEND FLC HOODIE GRY SM",6,24,55,144,330,186,0.563636364,In-store,SM,252332,GRY
25233203,"ADULT BLEND FLC HOODIE GRY MED",12,24,55,288,660,372,0.563636364,In-store,MED,252332,GRY
25233204,"ADULT BLEND FLC HOODIE GRY LG",11,24,55,264,605,341,0.563636364,In-store,LG,252332,GRY
25233205,"ADULT BLEND FLC HOODIE GRY XL",7,24,55,168,385,217,0.563636364,In-store,XL,252332,GRY
25233206,"ADULT BLEND FLC HOODIE GRY XXL",3,24,55,72,165,93,0.563636364,In-store,XXL,252332,GRY
25233207,"ADULT BLEND FLC HOODIE GRY 3XL",1,26,55,26,55,29,0.527272727,In-store,3XL,252332,GRY
25246002,"ADULT HOCKEY HOODIE RD/BL/WHT SM",1,32,68,32,68,36,0.529411765,In-store,SM,252460,RD/BL/WHT
25246003,"ADULT HOCKEY HOODIE RD/BL/WHT MED",5,32,68,160,322.33,162.33,0.529411765,In-store,MED,252460,RD/BL/WHT
25246004,"ADULT HOCKEY HOODIE RD/BL/WHT LG",3,32,68,96,180.2,84.2,0.529411765,In-store,LG,252460,RD/BL/WHT
25246005,"ADULT HOCKEY HOODIE RD/BL/WHT XL",3,32,68,96,180.2,84.2,0.529411765,In-store,XL,252460,RD/BL/WHT
25246006,"ADULT HOCKEY HOODIE RD/BL/WHT XXL",3,32,68,96,204,108,0.529411765,In-store,XXL,252460,RD/BL/WHT
25246007,"ADULT HOCKEY HOODIE RD/BL/WHT 3XL",2,34,68,68,136,68,0.5,In-store,3XL,252460,RD/BL/WHT
25263002,"ADULT POLY FLC PULLOVER HOOD BLK SM",11,25.5,55,280.5,605,324.5,0.536363636,In-store,SM,252630,BLK
25263003,"ADULT POLY FLC PULLOVER HOOD BLK MED",14,25.5,55,357,770,413,0.536363636,In-store,MED,252630,BLK
25263004,"ADULT POLY FLC PULLOVER HOOD BLK LG",25,25.5,55,637.5,1375,737.5,0.536363636,In-store,LG,252630,BLK
25263005,"ADULT POLY FLC PULLOVER HOOD BLK XL",17,25.5,55,433.5,935,501.5,0.536363636,In-store,XL,252630,BLK
25263006,"ADULT POLY FLC PULLOVER HOOD BLK XXL",8,25.5,55,204,440,236,0.536363636,In-store,XXL,252630,BLK
25263007,"ADULT POLY FLC PULLOVER HOOD BLK 3XL",2,27.5,55,55,110,55,0.5,In-store,3XL,252630,BLK
25276002,"MARLED POLY FLEECE HOODIE RD/BLK SM",7,25.5,55,178.5,385,206.5,0.536363636,In-store,SM,252760,RD/BLK
25276003,"MARLED POLY FLEECE HOODIE RD/BLK MED",6,25.5,55,153,330,177,0.536363636,In-store,MED,252760,RD/BLK
25276004,"MARLED POLY FLEECE HOODIE RD/BLK LG",13,25.5,55,331.5,715,383.5,0.536363636,In-store,LG,252760,RD/BLK
