"Model no","Display Name","Date Created","Date Received","Item name","Quantity Received","Unit Cost","Extended Cost","Retail Price","Extended retail","Gross Margin %",Size,"Product No"
1293205," RWHOOD APP SLV GRY XL",9/1/2023,10/17/2023,"315 - Hooded Sweat Adult",6,40.84,245.04,82.99,497.94,0.507892517,XL,12932
1253202," RWHOOD SILV GRY SM",9/1/2023,10/20/2023,"315 - Hooded Sweat Adult",15,33.16,497.4,69.99,1049.85,0.526218031,SM,12532
1253203," RWHOOD SILV GRY MED",9/1/2023,10/20/2023,"315 - Hooded Sweat Adult",36,33.16,1193.76,69.99,2519.64,0.526218031,MED,12532
1253204," RWHOOD SILV GRY LG",9/1/2023,10/20/2023,"315 - Hooded Sweat Adult",36,33.16,1193.76,69.99,2519.64,0.526218031,LG,12532
1253205," RWHOOD SILV GRY XL",9/1/2023,10/20/2023,"315 - Hooded Sweat Adult",6,33.16,198.96,69.99,419.94,0.526218031,XL,12532
20226002," PROMO HOOD WLFHD RED SM",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",18,15.13,272.34,34.99,629.82,0.56759074,SM,202260
20226003," PROMO HOOD WLFHD RED MED",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,MED,202260
20226004," PROMO HOOD WLFHD RED LG",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",52,15.13,786.76,34.99,1819.48,0.56759074,LG,202260
20226005," PROMO HOOD WLFHD RED XL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,XL,202260
20226006," PROMO HOOD WLFHD RED XXL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",12,15.13,181.56,34.99,419.88,0.56759074,XXL,202260
20233002," PROMO HOOD WLFHD BLK SM",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",18,15.13,272.34,34.99,629.82,0.56759074,SM,202330
20233003," PROMO HOOD WLFHD BLK MED",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,MED,202330
20233004," PROMO HOOD WLFHD BLK LG",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",54,15.13,817.02,34.99,1889.46,0.56759074,LG,202330
20233005," PROMO HOOD WLFHD BLK XL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,XL,202330
20233006," PROMO HOOD WLFHD BLK XXL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",12,15.13,181.56,34.99,419.88,0.56759074,XXL,202330
20233007," PROMO HOOD WLFHD BLK 3XL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",6,17.56,105.36,36.99,221.94,0.525277102,3XL,202330
20243202," PROMO HOOD WLFHD ASH GRY SM",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",18,15.13,272.34,34.99,629.82,0.56759074,SM,202432
20243203," PROMO HOOD WLFHD ASH GRY MED",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,MED,202432
20243204," PROMO HOOD WLFHD ASH GRY LG",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",51,15.13,771.63,34.99,1784.49,0.56759074,LG,202432
20243205," PROMO HOOD WLFHD ASH GRY XL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",30,15.13,453.9,34.99,1049.7,0.56759074,XL,202432
20243206," PROMO HOOD WLFHD ASH GRY XXL",6/22/2023,10/20/2023,"315 - Hooded Sweat Adult",12,15.13,181.56,34.99,419.88,0.56759074,XXL,202432
1303002," RWHOOD NCST/WP BLK SM",10/10/2023,11/2/2023,"315 - Hooded Sweat Adult",12,33.16,397.92,69.99,839.88,0.526218031,SM,13030
1303003," RWHOOD NCST/WP BLK MED",10/10/2023,11/2/2023,"315 - Hooded Sweat Adult",18,33.16,596.88,69.99,1259.82,0.526218031,MED,13030
1303004," RWHOOD NCST/WP BLK LG",10/10/2023,11/2/2023,"315 - Hooded Sweat Adult",18,33.16,596.88,69.99,1259.82,0.526218031,LG,13030
1303005," RWHOOD NCST/WP BLK XL",10/10/2023,11/2/2023,"315 - Hooded Sweat Adult",18,33.16,596.88,69.99,1259.82,0.526218031,XL,13030
1303006," RWHOOD NCST/WP BLK XXL",10/10/2023,11/2/2023,"315 - Hooded Sweat Adult",6,33.16,198.96,69.99,419.94,0.526218031,XXL,13030
4833202," HOODIE OXF GRY SM",10/10/2023,11/3/2023,"315 - Hooded Sweat Adult",12,24.09,289.08,52.99,635.88,0.545385922,SM,48332
4833203," HOODIE OXF GRY MED",10/10/2023,11/3/2023,"315 - Hooded Sweat Adult",18,24.09,433.62,52.99,953.82,0.545385922,MED,48332
4833204," HOODIE OXF GRY LG",10/10/2023,11/3/2023,"315 - Hooded Sweat Adult",18,24.09,433.62,52.99,953.82,0.545385922,LG,48332
4833205," HOODIE OXF GRY XL",10/10/2023,11/3/2023,"315 - Hooded Sweat Adult",18,24.09,433.62,52.99,953.82,0.545385922,XL,48332
4833206," HOODIE OXF GRY XXL",10/10/2023,11/3/2023,"315 - Hooded Sweat Adult",6,24.09,144.54,52.99,317.94,0.545385922,XXL,48332
75573203," HOOD SWEAT CHAR MED",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,MED,755732
75573204," HOOD SWEAT CHAR LG",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,755732
